,Date,Open,High,Low,Close,Adj Close,Volume,lof,dbscan,isof
168,2013-01-31,3053.0,3152.5,2951.0,3053.0,2087.93212890625,7583367,-1,-1,-1
396,2013-12-24,3626.5,3641.0,3611.0,3612.0,2619.77685546875,250981,-1,-1,-1
476,2014-04-22,4095.0,4147.0732421875,3957.0,3960.0,2956.561767578125,9330279,-1,-1,-1
480,2014-04-28,4701.0,4796.5,4560.0,4666.5,3484.0390625,15617707,-1,-1,-1
484,2014-05-02,4825.0,4946.4130859375,4716.5,4808.0,3589.68408203125,8406892,-1,-1,-1
494,2014-05-19,4200.0,4823.02001953125,4098.0,4287.5,3201.075439453125,26880809,-1,-1,-1
495,2014-05-20,4215.0,4308.72021484375,4185.7158203125,4308.5,3216.753662109375,13995314,-1,-1,-1
497,2014-05-22,4402.0,4409.0,4228.5,4275.0,3191.7421875,9909342,-1,-1,-1
1056,2016-08-05,5138.0,5505.0,5053.0,5220.0,4246.42919921875,8138551,-1,-1,-1
1302,2017-07-27,4346.0,4937.759765625,4260.0,4325.0,3683.960693359375,14342374,-1,-1,-1
1716,2019-03-15,6311.0,6331.0,6253.0,6274.0,5781.00830078125,9737384,-1,-1,-1
1726,2019-03-29,6200.0,6283.0,6029.0,6135.0,5652.9306640625,9710201,-1,-1,-1
1729,2019-04-03,6265.0,6299.0,6115.0,6165.0,5680.57275390625,8898146,-1,-1,-1
1973,2020-03-20,7133.0,7278.75,6846.0,6891.0,6543.5625,7501354,-1,-1,-1
2019,2020-05-29,8832.0,8990.0,8580.0,8580.0,8147.40576171875,6105511,-1,-1,-1
2148,2020-11-27,7703.0,7813.97314453125,7644.0,7770.0,7437.75341796875,6933755,-1,-1,-1
2159,2020-12-14,7800.0,7824.0,7410.0,7692.0,7363.0888671875,8369844,-1,-1,-1
2160,2020-12-15,7550.0,7615.0,7478.0,7505.0,7184.0849609375,7679478,-1,-1,-1
2271,2021-05-27,8001.0,8100.0,7925.0,8100.0,7906.21533203125,7954127,-1,-1,-1
2308,2021-07-20,8348.0,8513.0,8297.0,8456.0,8253.6982421875,60291388,-1,-1,-1
2477,2022-03-18,9650.0,9650.0,9511.0,9536.0,9536.0,6352349,-1,-1,-1
