Date,Open,High,Low,Close,Adj Close,Volume
2012-06-01,1183.0,1193.0,1165.0,1167.0,1012.9776611328125,642768
2012-06-06,1160.0,1175.0,1157.0,1171.0,1023.9075317382812,1349243
2012-06-07,1177.0,1182.0,1170.0,1175.0,1027.4051513671875,890069
2012-06-08,1169.0,1191.0,1167.0,1188.0,1038.772216796875,900729
2012-06-11,1199.0,1200.0,1183.5,1194.0,1044.0185546875,1694097
2012-06-12,1194.0,1209.0,1194.0,1208.0,1056.259765625,1151543
2012-06-13,1206.0,1217.0,1199.0,1205.0,1053.636474609375,1037398
2012-06-14,1201.0,1213.0,1192.0,1210.0,1058.0081787109375,1124133
2012-06-15,1211.0,1219.73095703125,1202.0,1219.0,1065.877685546875,4402998
2012-06-18,1225.0,1235.0,1221.0,1229.0,1074.621826171875,1130273
2012-06-19,1226.0,1227.0,1216.0,1224.0,1070.25,1316982
2012-06-20,1222.0,1236.0,1208.0,1234.0,1078.993896484375,1295317
2012-06-21,1230.0,1246.0,1229.0,1233.0,1078.119384765625,1058559
2012-06-22,1231.0,1240.0,1228.0,1234.0,1078.993896484375,572275
2012-06-25,1234.0,1239.0,1226.0,1235.0,1079.8680419921875,677735
2012-06-26,1239.0,1243.0,1226.0,1237.0,1081.616943359375,484334
2012-06-27,1242.0,1270.0,1242.0,1267.0,1107.848876953125,1319965
2012-06-28,1264.0,1272.0,1258.0,1272.0,1112.2205810546875,805460
2012-06-29,1284.0,1290.0,1271.0,1282.0,1120.9644775390625,997876
2012-07-02,1282.0,1293.0,1275.0,1288.0,1126.210693359375,853006
2012-07-03,1287.0,1291.0,1282.0,1290.0,1127.95947265625,942244
2012-07-04,1290.0,1293.0,1284.0,1288.0,1126.210693359375,614004
2012-07-05,1292.0,1299.0,1282.0,1284.0,1122.7132568359375,1182334
2012-07-06,1289.0,1297.0,1288.0,1292.0,1129.708251953125,810710
2012-07-09,1295.0,1297.6400146484375,1267.0,1278.0,1117.4669189453125,1381542
2012-07-10,1283.0,1295.0,1272.0,1290.0,1127.95947265625,964233
2012-07-11,1284.0,1288.0,1265.0,1267.0,1107.848876953125,1127754
2012-07-12,1265.0,1283.0,1244.0,1276.0,1115.718017578125,2366727
2012-07-13,1285.0,1291.0,1275.0,1289.0,1127.0853271484375,1194479
2012-07-16,1289.0,1291.0,1284.0,1285.0,1123.5872802734375,750865
2012-07-17,1290.0,1290.0,1275.0,1275.0,1114.8436279296875,778727
2012-07-18,1282.0,1287.0,1271.0,1284.0,1122.7132568359375,747803
2012-07-19,1282.0,1290.0,1280.904052734375,1288.0,1126.210693359375,401200
2012-07-20,1286.0,1296.0,1275.0,1288.0,1126.210693359375,948281
2012-07-23,1268.0,1275.0,1247.0,1252.0,1094.7327880859375,907516
2012-07-24,1254.0,1263.1500244140625,1247.0,1248.0,1091.235107421875,536600
2012-07-25,1244.0,1252.0,1237.0,1243.0,1086.863037109375,610765
2012-07-26,1242.0,1261.0,1242.0,1256.0,1098.2303466796875,1042181
2012-07-27,1256.0,1256.0,1243.0,1250.0,1092.9840087890625,814834
2012-07-30,1254.0,1259.0,1248.0,1257.0,1099.104736328125,554475
2012-07-31,1254.0,1264.0,1252.0,1255.0,1097.35595703125,653220
2012-08-01,1256.0,1279.0,1256.0,1279.0,1118.341064453125,637026
2012-08-02,1277.0,1283.0,1263.0,1270.0,1110.471923828125,650653
2012-08-03,1274.0,1276.0,1264.0,1274.0,1113.9696044921875,431673
