Date,Open,High,Low,Close,Adj Close,Volume
2012-06-01,478.6000061035156,483.79998779296875,460.6029968261719,463.8999938964844,397.39605712890625,573513
2012-06-06,466.8999938964844,477.6000061035156,466.8999938964844,474.5,406.47650146484375,623570
2012-06-07,477.6000061035156,493.0,476.6000061035156,488.1000061035156,418.1267395019531,735237
2012-06-08,482.20001220703125,486.3800048828125,477.20001220703125,479.79998779296875,411.0165710449219,493482
2012-06-11,491.29998779296875,493.24700927734375,473.8999938964844,474.8999938964844,406.819091796875,415346
2012-06-12,476.79998779296875,479.0,469.6000061035156,474.3999938964844,406.3907775878906,491705
2012-06-13,476.3999938964844,479.20001220703125,470.3999938964844,475.29998779296875,407.1617126464844,349624
2012-06-14,473.6000061035156,483.70001220703125,468.70001220703125,481.20001220703125,412.2159423828125,903006
2012-06-15,482.6000061035156,487.89300537109375,475.8999938964844,487.6000061035156,417.69842529296875,1626045
2012-06-18,492.29998779296875,494.9440002441406,482.29998779296875,484.6000061035156,415.1284484863281,537617
2012-06-19,484.8999938964844,498.5,484.1000061035156,495.8999938964844,424.8086242675781,495726
2012-06-20,497.1000061035156,520.0,494.5,518.5,444.1686096191406,785913
2012-06-21,514.5,519.5,508.95001220703125,512.0,438.6004638671875,432690
2012-06-22,508.5,508.5,499.5,501.0,429.1773681640625,396208
2012-06-25,500.5,514.5,499.20001220703125,513.0,439.4570617675781,697266
2012-06-26,516.5,516.5,504.0,506.0,433.460693359375,501311
2012-06-27,509.5,514.0,504.0,511.0,437.74383544921875,520085
2012-06-28,512.5,512.5,496.3999938964844,503.0,430.8907165527344,466841
2012-06-29,517.0,532.0,512.0,529.5,453.59173583984375,578501
2012-07-02,528.0,539.5,524.947998046875,537.0,460.0165100097656,460573
2012-07-03,523.0,550.0,520.5,548.0,469.4395751953125,546591
2012-07-04,536.0,552.0,536.0,548.5,469.86785888671875,325891
2012-07-05,534.5,552.3150024414062,534.5,549.0,470.2962646484375,466662
2012-07-06,542.0,549.5,541.5,545.5,467.2979431152344,463941
2012-07-09,542.0,545.1099853515625,538.0,543.0,465.1563720703125,377666
2012-07-10,540.0,552.0,540.0,551.0,472.00958251953125,314712
2012-07-11,547.0,555.6849975585938,544.5,552.0,472.86614990234375,410939
2012-07-12,548.0,553.5,542.5,545.5,467.2979431152344,864837
2012-07-13,545.0,554.5,542.5,552.0,472.86614990234375,628894
2012-07-16,556.5,556.5,548.5,551.0,472.00958251953125,470413
2012-07-17,551.0,557.0,548.6099853515625,552.5,473.2944641113281,429883
2012-07-18,556.0,575.5579833984375,555.75,575.5,492.9971618652344,1548587
2012-07-19,574.5,583.5579833984375,571.0,583.5,499.85028076171875,388608
2012-07-20,580.5,583.5,573.5,574.5,492.1405334472656,494119
2012-07-23,570.0,575.5,546.0,548.0,469.4395751953125,427349
2012-07-24,552.5,557.0650024414062,545.5,552.5,473.2944641113281,422670
2012-07-25,552.5,563.0,549.5,562.0,481.4325256347656,227086
2012-07-26,561.0,574.5,558.2470092773438,571.5,489.57061767578125,525520
2012-07-27,572.5,572.5,562.0,571.5,489.57061767578125,398588
2012-07-30,566.0,578.5,565.5,575.0,492.5688171386719,299270
2012-07-31,567.5,576.5,566.0,566.0,484.8590393066406,350390
2012-08-01,567.5,577.5,566.9819946289062,577.5,494.7105407714844,240127
2012-08-02,575.0,580.0,562.5,562.5,481.86083984375,274871
2012-08-03,564.0,590.0,563.8099975585938,589.5,504.9900817871094,317702
2012-08-06,587.5,597.5,580.5,594.0,508.8451232910156,293287
2012-08-07,593.5,601.0,591.68701171875,598.5,512.699951171875,310657
2012-08-08,595.5,600.0,589.5,598.0,512.271484375,268892
2012-08-09,601.0,604.5,596.0,603.5,516.9832153320312,176361
2012-08-10,602.0,606.5,596.5,602.5,516.1265869140625,288768
2012-08-13,603.5,605.5,598.5,602.0,515.6981811523438,166672
2012-08-14,605.5,609.0,600.5,607.0,519.9812622070312,212734
2012-08-15,607.5,614.0,606.0579833984375,610.5,522.9796752929688,331967
2012-08-16,610.5,614.7979736328125,605.5,609.0,521.6947631835938,407521
2012-08-17,613.0,614.5,604.5,610.0,522.5513916015625,389645
2012-08-20,612.5,614.0,601.5,606.5,519.5531005859375,290463
2012-08-21,616.0,616.5,603.5,614.5,526.4061279296875,603999
2012-08-22,611.0,612.2999877929688,602.0,610.5,522.9796752929688,376354
2012-08-23,617.0,620.0,607.5499877929688,613.5,525.5496826171875,394584
2012-08-24,618.5,623.0,611.0,619.5,530.6893310546875,323985
2012-08-28,626.5,626.5,600.0,612.0,524.2646484375,489080
2012-08-29,614.5,618.5,603.0,615.0,526.8345336914062,474159
2012-08-30,613.5,618.0,608.5,617.0,528.5479125976562,331575
2012-08-31,620.0,622.5,608.0,621.0,531.974365234375,576389
2012-09-03,613.0,634.0,610.5,633.0,542.2540893554688,401032
2012-09-04,640.0,640.0,622.0,630.5,540.1126098632812,481423
2012-09-05,634.5,637.5180053710938,622.5,626.0,536.2576904296875,796012
2012-09-06,630.0,653.5,625.5,650.5,557.245361328125,1133948
2012-09-07,650.5,665.0,645.5,647.5,554.6754760742188,1509239
2012-09-10,647.0,660.5,644.0,653.5,559.815185546875,659966
2012-09-11,656.0,663.5,651.0,654.0,560.2435913085938,962007
2012-09-12,640.0,645.0,625.5,630.0,545.38818359375,1054297
2012-09-13,631.5,642.5,629.56201171875,637.0,551.4481201171875,694436
2012-09-14,646.5,650.5,635.5,645.5,558.8065795898438,675725
2012-09-17,642.0,655.0,637.4500122070312,652.0,564.4334106445312,750950
2012-09-18,647.5,651.5,642.0,647.0,560.1051025390625,488168
2012-09-19,649.5,660.0,644.5750122070312,647.5,560.5379028320312,377335
2012-09-20,644.0,652.0,638.0,640.0,554.045166015625,1090112
2012-09-21,643.5,643.5,630.0,639.0,553.1796264648438,863719
2012-09-24,633.0,638.5,632.0,635.0,549.7166748046875,272353
2012-09-25,637.0,642.0,633.0,639.0,553.1796264648438,374342
2012-09-26,634.5,635.0,623.5,624.5,540.626953125,349001
2012-09-27,630.0,632.5,625.0,631.0,546.25390625,289497
2012-09-28,633.5,636.8389892578125,626.5,628.5,544.089599609375,409020
2012-10-01,629.5,640.5,627.5,638.5,552.7466430664062,523491
2012-10-02,631.5,642.0,631.5,636.0,550.5824584960938,332149
2012-10-03,635.5,649.5,633.68701171875,644.5,557.94091796875,468533
2012-10-04,645.0,656.5,643.625,649.5,562.2692260742188,623028
2012-10-05,650.0,676.5,647.5,666.0,576.5534057617188,749435
2012-10-08,662.5,675.0,658.5,672.0,581.7474365234375,1019063
2012-10-09,672.0,676.0,662.5,675.0,584.3446655273438,635453
2012-10-10,675.0,687.0,671.0,679.0,587.8072509765625,1163260
2012-10-11,677.5,691.5,672.18798828125,688.0,595.5986328125,1037942
2012-10-12,689.5,717.5,689.0,712.0,616.3751220703125,1761152
2012-10-15,711.0,736.0,709.4149780273438,725.5,628.0623168945312,1617168
2012-10-16,716.5,742.0,715.5,737.5,638.4505004882812,1490538
2012-10-17,740.0,740.0,732.60498046875,737.0,638.017578125,1265992
2012-10-18,741.0,748.6090087890625,731.0,742.5,642.7789916992188,1225905
2012-10-19,740.0,758.4520263671875,736.5,753.0,651.8687744140625,1919910
2012-10-22,750.0,757.5,744.5,754.5,653.1672973632812,1003196
2012-10-23,754.0,755.197021484375,741.5,744.0,644.0775146484375,1214873
2012-10-24,744.5,750.0,733.5,742.5,642.7789916992188,1345797
2012-10-25,744.0,762.5,740.0,752.5,651.4359130859375,1854430
2012-10-26,748.0,759.0,740.0,759.0,657.0628051757812,1239293
2012-10-29,744.0,744.0,721.0,727.5,629.7935791015625,2048292
2012-10-30,730.0,742.5,724.875,738.0,638.88330078125,1081035
2012-10-31,736.0,746.875,735.1649780273438,738.0,638.88330078125,744843
2012-11-01,738.5,750.5,733.5,746.5,646.2418212890625,983404
2012-11-02,747.5,778.5,746.5,762.0,659.6600341796875,1178756
2012-11-05,759.0,785.47998046875,748.5,759.5,657.495849609375,750035
2012-11-06,762.0,769.0,760.0,766.5,663.5557250976562,835930
2012-11-07,772.5,782.0,767.385986328125,768.5,665.2870483398438,1308334
2012-11-08,772.0,777.0,765.8560180664062,769.0,665.7199096679688,926185
2012-11-09,770.0,776.5,763.0,774.0,670.0482177734375,991797
2012-11-12,771.5,779.5,769.5,775.5,671.3469848632812,775434
2012-11-13,773.5,780.0,770.0,780.0,675.2425537109375,971020
2012-11-14,779.5,785.0,767.5,767.5,664.42138671875,971407
2012-11-15,765.0,784.0449829101562,752.5,759.0,657.0628051757812,1722926
2012-11-16,762.5,768.5,752.0,752.0,651.0030517578125,1438989
2012-11-19,759.5,766.0,754.18701171875,765.5,662.6900024414062,2124888
2012-11-20,761.5,779.5,759.5,775.5,671.3469848632812,1362375
2012-11-21,774.0,776.5,767.0,770.5,667.0184936523438,742778
2012-11-22,771.0,774.5,763.5,766.0,663.1228637695312,1020657
2012-11-23,767.0,773.5,761.0,771.5,667.8842163085938,605185
2012-11-26,773.5,782.5,764.0,765.5,662.6900024414062,952855
2012-11-27,770.5,771.5,767.5,770.0,666.5855712890625,1414120
2012-11-28,769.5,770.0,754.5,763.5,660.9586181640625,1075355
2012-11-29,768.0,769.5,747.5,750.5,649.7044677734375,1897569
2012-11-30,753.5,764.4829711914062,731.0,757.0,655.3316040039062,14852004
2012-12-03,757.0,757.0,731.0,736.5,637.5848999023438,1427051
2012-12-04,737.5,745.5,734.719970703125,744.0,644.0775146484375,743857
