Date,Open,High,Low,Close,Adj Close,Volume
2012-06-01,2666.0,2674.0,2598.0,2614.0,2174.348388671875,406552
2012-06-06,2579.0,2637.0,2535.0,2627.0,2204.55859375,526259
2012-06-07,2650.0,2696.0,2629.0,2682.0,2250.714111328125,238075
2012-06-08,2677.0,2691.0,2658.0,2683.0,2251.55322265625,227958
2012-06-11,2734.0,2745.0,2690.0,2697.0,2263.302490234375,263789
2012-06-12,2700.0,2719.0,2638.0,2668.0,2238.9658203125,511663
2012-06-13,2675.0,2677.0,2593.0,2623.0,2201.201904296875,498546
2012-06-14,2626.0,2630.0,2591.0,2611.0,2191.13134765625,460307
2012-06-15,2625.0,2625.0,2556.465087890625,2558.0,2146.654296875,1046989
2012-06-18,2600.0,2602.0,2544.0,2595.0,2177.704345703125,286060
2012-06-19,2592.0,2615.0,2540.0,2571.0,2157.56396484375,637794
2012-06-20,2562.0,2618.0,2556.0,2608.0,2188.61376953125,373890
2012-06-21,2613.0,2628.0,2603.0,2614.0,2193.649658203125,245676
2012-06-22,2602.0,2602.0,2571.0,2581.0,2165.95556640625,193095
2012-06-25,2569.0,2575.0,2545.0,2561.0,2149.17236328125,145877
2012-06-26,2552.0,2583.0,2546.0,2576.0,2161.759765625,329079
2012-06-27,2580.0,2627.0,2560.0,2627.0,2204.55859375,315454
2012-06-28,2619.0,2646.0,2588.0,2617.0,2196.1669921875,232818
2012-06-29,2660.0,2685.0,2655.0,2672.0,2242.32275390625,303437
2012-07-02,2665.0,2696.0,2663.943115234375,2694.0,2260.78466796875,262022
2012-07-03,2692.0,2717.0,2677.0,2717.0,2280.08642578125,182202
2012-07-04,2715.0,2719.64111328125,2698.0,2705.0,2270.015869140625,159405
2012-07-05,2705.0,2743.0,2696.0,2719.0,2281.76416015625,200150
2012-07-06,2703.0,2710.0,2675.0,2690.0,2257.4287109375,375529
2012-07-09,2698.0,2698.0,2650.0,2659.0,2231.413330078125,273306
2012-07-10,2670.0,2702.0,2660.0,2698.0,2264.141357421875,592306
2012-07-11,2693.0,2709.0,2679.0,2692.0,2259.106201171875,486273
2012-07-12,2680.0,2701.0,2646.0,2671.0,2241.482666015625,446254
2012-07-13,2674.0,2703.0,2665.0,2703.0,2268.33740234375,327097
2012-07-16,2710.0,2725.0,2695.0,2723.0,2285.12109375,342400
2012-07-17,2732.0,2734.0,2709.0,2727.0,2288.477783203125,293653
2012-07-18,2742.0,2778.0,2732.0,2770.0,2324.563720703125,210806
2012-07-19,2771.0,2815.0,2771.0,2815.0,2362.32666015625,239248
2012-07-20,2804.0,2820.0,2767.0,2792.0,2343.025390625,289062
2012-07-23,2780.0,2800.0,2696.0,2704.0,2269.176513671875,271654
2012-07-24,2706.0,2719.0,2692.0,2692.0,2259.106201171875,355086
2012-07-25,2698.0,2723.0,2684.0,2691.0,2258.266845703125,483872
2012-07-26,2708.0,2936.0,2706.0,2831.0,2375.75390625,816386
2012-07-27,2839.0,2848.0,2778.0,2814.0,2361.48779296875,401723
2012-07-30,2820.0,2850.0,2805.0,2842.0,2384.98486328125,196167
2012-07-31,2853.0,2853.0,2730.0,2734.0,2294.35205078125,518457
2012-08-01,2746.0,2781.0,2744.0,2761.0,2317.01025390625,276630
2012-08-02,2762.0,2777.0,2715.0,2736.0,2296.03076171875,335514
2012-08-03,2750.0,2771.0,2737.0,2761.0,2317.01025390625,367763
2012-08-06,2752.0,2800.0,2752.0,2762.0,2317.849853515625,373866
2012-08-07,2756.0,2790.0,2721.0,2763.0,2318.689208984375,228992
2012-08-08,2753.0,2777.0,2732.0,2777.0,2330.4375,259755
2012-08-09,2790.0,2790.0,2759.0,2778.0,2331.27685546875,172004
2012-08-10,2786.0,2873.0,2766.0,2784.0,2336.31201171875,282215
2012-08-13,2779.0,2782.0,2750.0,2762.0,2317.849853515625,141088
2012-08-14,2776.0,2778.0,2757.0,2774.0,2327.92041015625,171200
2012-08-15,2780.0,2800.0,2765.0,2781.0,2333.79443359375,518243
2012-08-16,2793.0,2795.0,2774.0,2786.0,2337.990478515625,231229
2012-08-17,2804.0,2805.0,2777.0,2795.0,2345.54296875,507439
