Date,Open,High,Low,Close,Adj Close,Volume
2012-06-01,657.5,667.6699829101562,651.5,662.5,408.4522705078125,4556420
2012-06-06,680.0,680.0,665.0,678.0,418.0085754394531,5966882
2012-06-07,678.0,678.0,665.0,668.5,412.1514892578125,4066774
2012-06-08,664.5,680.5679931640625,664.5,680.5,419.5499267578125,2746592
2012-06-11,686.5,686.5,672.5,675.0,416.15899658203125,2897603
2012-06-12,675.5,681.5,671.0,676.5,417.0837707519531,4950641
2012-06-13,681.0,681.0,654.8800048828125,678.5,418.3168640136719,2455320
2012-06-14,678.0,683.0,676.5,680.5,419.5499267578125,1707709
2012-06-15,679.5,682.7780151367188,662.6019897460938,663.0,408.7605895996094,5504135
2012-06-18,670.5,670.5,655.5,661.0,407.5275573730469,4553674
2012-06-19,662.5,672.0070190429688,661.0,669.5,412.76806640625,2952019
2012-06-20,651.5,667.3400268554688,642.0,656.0,417.7607116699219,3046392
2012-06-21,657.0,677.3400268554688,651.0,653.5,416.168701171875,2613363
2012-06-22,651.0,669.8400268554688,644.5,646.0,411.3924865722656,2032971
2012-06-25,645.5,649.6740112304688,639.0,647.0,412.0292663574219,1651018
2012-06-26,650.5,655.0,648.5,652.0,415.21356201171875,1728242
2012-06-27,653.0,661.5,652.0,659.0,419.6712646484375,1336996
2012-06-28,662.5,674.5,662.0,674.5,429.5422058105469,3260295
2012-06-29,680.0,682.0,670.5,675.0,429.8605651855469,3077823
2012-07-02,675.0,679.5,668.5750122070312,679.5,432.7262878417969,2391539
2012-07-03,679.0,679.0,669.0,673.5,428.90533447265625,2066506
2012-07-04,677.5,678.0,670.6749877929688,673.5,428.90533447265625,1344952
2012-07-05,675.0,675.0,661.5,671.0,427.313232421875,1730328
2012-07-06,670.5,677.0,670.0,676.0,430.4974060058594,1693687
2012-07-09,674.5,679.5,669.0,676.5,430.8157653808594,1317786
2012-07-10,678.5,681.5,672.0,679.0,432.4079284667969,1622495
2012-07-11,678.5,683.0679931640625,676.25,683.0,434.9552307128906,2592667
2012-07-12,683.0,685.5,678.0,683.5,435.2735900878906,1522454
2012-07-13,679.0,685.0,674.0,684.5,435.91046142578125,2493693
2012-07-16,683.5,697.0,681.81201171875,697.0,443.87078857421875,3895191
2012-07-17,697.0,698.0,690.0,698.0,444.5077819824219,3915976
2012-07-18,698.0,698.0,684.0,696.0,443.2340393066406,4990631
2012-07-19,696.0,696.0,686.5,690.5,439.73150634765625,2514272
2012-07-20,690.0,698.0,686.0,698.0,444.5077819824219,4841649
2012-07-23,692.5,697.0,688.0,691.0,440.04986572265625,2570216
2012-07-24,691.5,695.3900146484375,687.0,691.5,440.3682556152344,3025499
2012-07-25,691.0,695.5,687.0,688.5,438.45770263671875,3054397
2012-07-26,690.0,702.0,687.5,701.5,446.7364501953125,4732141
2012-07-27,705.0,705.5,692.5,693.0,441.3235778808594,4015930
2012-07-30,696.5,698.5800170898438,691.0,692.0,440.68670654296875,2544021
2012-07-31,693.5,698.0,683.0,683.0,434.9552307128906,2759390
2012-08-01,685.5,689.0,674.5,677.0,431.13427734375,3330393
2012-08-02,679.0,679.5,670.0,673.5,428.90533447265625,2502405
2012-08-03,677.0,686.5,673.0,686.5,437.1841735839844,2643616
2012-08-06,685.0,685.5,678.0,680.5,433.3631591796875,2391714
2012-08-07,682.0,685.093994140625,677.5,684.5,435.91046142578125,1760179
2012-08-08,684.0,698.0,680.0,685.0,436.22882080078125,2558184
2012-08-09,686.5,688.25,679.0,682.0,434.318359375,1885922
2012-08-10,682.5,691.0,681.0,687.5,437.82098388671875,3135917
2012-08-13,687.5,689.5,684.9769897460938,689.0,438.7762451171875,2589720
2012-08-14,697.0,816.0,695.5,722.5,460.1100158691406,20622434
2012-08-15,723.5,737.5,716.5,728.0,463.6126708984375,6673251
2012-08-16,730.0,739.5,726.0,726.0,462.3388977050781,5284756
2012-08-17,727.0,731.25,721.5,721.5,459.47320556640625,2798249
2012-08-20,722.0,727.0,718.0,719.0,457.8810119628906,2591974
2012-08-21,719.5,725.0,716.5,716.5,456.2890625,2255613
